customer_id,trans_date,tran_amount
CS1121,02-Oct-14,73
CS1121,22-Mar-13,88
CS1121,30-Jun-12,38
CS1121,06-May-12,104
CS1121,06-Mar-12,50
CS1121,26-Apr-13,38
CS1121,08-Dec-14,52
CS1121,13-Feb-12,86
CS1122,19-Jul-11,75
CS1122,21-Apr-12,41
CS1122,03-Jul-13,49
CS1122,02-Dec-11,84
CS1122,02-Oct-11,53
CS1122,02-Feb-15,81
CS1122,03-May-14,93
CS1122,16-Feb-13,59
CS1122,05-Jun-12,68
CS1122,21-Dec-13,94
CS1122,13-Nov-12,53
CS1122,12-Nov-11,104
CS1122,11-Sep-11,90
CS1122,04-Jul-14,90
CS1122,03-Feb-12,35
CS1122,11-Nov-12,87
CS1123,21-Oct-13,46
CS1123,20-Dec-11,73
CS1123,16-Jun-14,90
CS1123,02-Sep-11,68
CS1123,07-Aug-12,95
CS1123,27-May-13,90
CS1123,27-Nov-14,61
CS1123,08-Aug-11,69
CS1123,24-Oct-11,44
CS1123,26-May-11,58
CS1123,20-Feb-13,103
CS1123,30-Dec-12,55
CS1123,07-Mar-14,80
CS1123,16-Feb-14,91
CS1123,25-Jul-13,37
CS1123,16-Jun-11,86
CS1123,05-Nov-14,66
CS1123,01-Aug-11,53
CS1123,05-Mar-14,66
CS1124,13-Jan-13,41
CS1124,07-Feb-13,41
CS1124,27-Jun-11,93
CS1124,20-Mar-12,60
CS1124,02-Jan-15,49
CS1124,07-Jun-12,84
CS1124,10-May-12,80
CS1124,10-Aug-11,64
CS1124,26-Aug-13,72
CS1124,17-Oct-12,67
CS1124,07-Oct-11,66
CS1124,02-Mar-12,92
CS1124,06-Aug-14,35
CS1124,28-Apr-12,36
CS1124,25-Jun-13,71
CS1124,12-Jan-14,95
CS1124,19-Apr-12,45
CS1124,02-Aug-12,36
CS1125,29-Jan-12,101
CS1125,17-May-12,62
CS1125,19-Feb-15,60
CS1125,05-Jul-13,72
CS1125,09-Jan-13,98
CS1125,20-Mar-12,89
CS1125,31-Dec-12,49
CS1125,16-Mar-13,54
CS1125,19-Jul-14,61
CS1125,12-Dec-13,38
CS1125,08-Nov-11,97
CS1125,04-Feb-12,104
CS1126,09-Oct-13,58
CS1126,17-Mar-12,81
CS1126,30-Apr-14,72
CS1126,18-Sep-14,67
CS1126,29-Jun-14,37
CS1126,05-Jul-13,53
CS1126,14-Dec-12,50
CS1126,29-Dec-12,88
CS1126,31-Mar-12,58
CS1126,17-Nov-12,69
CS1126,04-Jul-12,60
CS1126,09-Nov-12,95
CS1126,15-May-12,36
CS1126,04-Aug-14,37
CS1126,18-Feb-14,72
CS1126,02-Mar-13,68
CS1126,14-Jul-11,37
CS1126,24-Nov-13,48
CS1126,14-Jun-13,79
CS1127,06-Dec-11,82
CS1127,24-Dec-13,90
CS1127,24-Sep-12,42
CS1127,22-Sep-12,36
CS1127,12-Jun-14,55
CS1127,06-Dec-14,37
CS1127,05-Feb-15,82
CS1127,28-Dec-11,88
CS1127,31-Oct-11,61
CS1127,11-Jul-11,98
CS1127,03-Sep-13,94
CS1127,24-Nov-11,39
CS1127,02-Nov-14,38
CS1127,13-Nov-14,98
CS1127,10-Mar-13,46
CS1127,03-Feb-15,88
CS1127,17-Aug-11,99
CS1127,02-Feb-12,48
CS1127,16-Dec-13,89
CS1127,27-Mar-14,62
CS1127,25-Oct-11,77
CS1127,29-Nov-14,94
CS1127,17-Oct-13,39
CS1127,06-Oct-12,94
CS1128,23-Apr-14,105
CS1128,06-Apr-14,93
CS1128,23-Mar-14,43
CS1128,03-Aug-14,77
CS1128,03-Oct-11,74
CS1128,16-Nov-13,50
CS1128,18-Aug-14,54
CS1128,05-Sep-12,49
CS1128,19-Apr-14,100
CS1128,17-Mar-13,72
CS1128,15-Jul-13,38
CS1128,03-Nov-13,72
CS1128,05-Nov-11,84
CS1128,16-Dec-11,96
CS1128,14-Dec-11,83
CS1128,31-Dec-14,52
CS1128,29-Mar-14,104
CS1128,18-May-12,81
CS1128,11-Feb-14,57
CS1128,08-Feb-12,59
CS1128,08-Feb-12,90
CS1128,17-Mar-12,74
CS1128,24-May-11,104
CS1128,17-Apr-14,42
CS1128,05-Apr-14,102
CS1128,25-Oct-13,66
CS1129,30-May-11,83
CS1129,02-Sep-11,51
CS1129,30-Nov-14,68
CS1129,12-Aug-12,55
CS1129,12-Oct-12,55
CS1129,01-Feb-13,87
CS1129,26-Mar-13,101
CS1129,08-Oct-11,44
CS1129,09-Jun-12,78
CS1129,04-May-12,86
CS1129,27-Feb-14,41
CS1129,08-Jan-13,104
CS1130,17-Nov-14,97
CS1130,12-Feb-15,85
CS1130,31-Mar-13,79
CS1130,18-Aug-11,50
CS1130,29-Mar-14,65
CS1130,07-Jul-14,75
CS1130,26-Jan-13,43
CS1130,01-Sep-11,60
CS1130,13-Mar-15,58
CS1130,21-Dec-13,57
CS1130,12-May-14,37
CS1130,10-Feb-15,35
CS1130,20-Aug-13,68
CS1130,09-Mar-13,80
CS1130,10-Mar-13,96
CS1130,08-May-13,35
CS1130,24-Jul-14,58
CS1130,19-Jan-12,44
CS1130,03-May-12,63
CS1131,20-Oct-14,95
CS1131,13-Feb-12,80
CS1131,24-Feb-15,83
CS1131,24-Aug-11,86
CS1131,09-Feb-12,67
CS1131,13-Feb-15,35
CS1131,03-Oct-12,94
CS1131,22-Apr-12,75
CS1131,03-Nov-11,69
CS1131,11-Mar-13,56
CS1131,16-Apr-12,50
CS1131,06-Nov-14,78
CS1131,26-Feb-12,83
CS1131,27-Jul-14,47
CS1132,17-Apr-13,103
CS1132,13-Jul-11,46
CS1132,05-Feb-12,52
CS1132,24-Jun-14,72
CS1132,25-Jan-12,71
CS1132,16-Feb-12,40
CS1132,03-Aug-12,63
CS1132,17-Feb-15,91
CS1132,14-Jan-13,43
CS1132,08-Oct-12,99
CS1132,26-Mar-12,83
CS1132,07-Nov-13,41
CS1132,28-Jun-13,94
CS1132,15-Feb-12,52
CS1132,05-Jul-13,82
CS1132,04-Dec-12,42
CS1133,28-Jul-14,91
CS1133,01-Apr-12,61
CS1133,17-Feb-14,90
CS1133,18-Nov-14,90
CS1133,12-Aug-12,38
CS1133,31-Oct-12,79
CS1133,01-Feb-13,50
CS1133,01-Jun-11,75
CS1133,21-Feb-15,102
CS1133,13-Nov-12,64
CS1133,06-Nov-14,100
CS1133,09-Jan-12,37
CS1133,12-Jun-12,102
CS1133,11-Nov-13,35
CS1133,12-Oct-14,97
CS1133,13-Mar-12,105
CS1133,05-Feb-14,64
CS1133,06-Dec-14,78
CS1133,15-Jun-11,55
CS1134,10-Apr-14,38
CS1134,08-Jun-13,84
CS1134,27-Nov-14,101
CS1134,08-Apr-13,66
CS1134,15-Apr-14,84
CS1134,06-Sep-11,63
CS1134,17-Dec-11,49
CS1134,18-Nov-13,72
CS1134,25-Sep-14,78
CS1134,29-Nov-11,35
CS1134,10-Nov-11,100
CS1134,14-Jan-12,58
CS1134,06-Nov-13,82
CS1134,10-Nov-13,73
CS1134,09-Aug-12,96
CS1134,02-Apr-12,87
CS1135,15-Apr-14,63
CS1135,28-Aug-12,98
CS1135,25-Dec-13,74
CS1135,01-Aug-13,40
CS1135,01-Jul-11,37
CS1135,22-Jul-12,94
CS1135,07-Jan-13,38
CS1135,15-Nov-12,69
CS1135,15-Jan-13,38
CS1135,02-Nov-13,88
CS1135,07-Jan-12,65
CS1135,10-Aug-13,42
CS1135,01-Aug-13,86
CS1135,10-Aug-13,40
CS1135,12-Oct-11,53
CS1135,05-Jan-14,68
CS1135,15-Feb-12,93
CS1135,05-Jan-13,51
CS1135,20-Dec-11,47
CS1135,06-Dec-13,83
CS1136,10-Sep-11,95
CS1136,05-Apr-13,73
CS1136,17-Feb-15,99
CS1136,17-Dec-12,43
CS1136,21-Mar-14,68
CS1136,28-Nov-12,44
CS1136,15-Apr-14,42
CS1136,06-Apr-12,61
CS1136,28-Sep-14,75
CS1136,20-Sep-12,103
CS1136,31-May-12,49
CS1136,13-Sep-13,89
CS1136,27-Dec-12,39
CS1136,06-Dec-12,44
CS1136,08-May-12,83
CS1136,17-Apr-12,59
CS1136,01-Feb-12,92
CS1136,13-Feb-15,105
CS1136,12-Aug-11,36
CS1136,02-Nov-13,40
CS1137,27-Nov-11,35
CS1137,02-Oct-14,38
CS1137,05-Jul-12,100
CS1137,03-Sep-12,93
CS1137,25-May-11,53
CS1137,11-Jun-14,84
CS1137,09-Dec-14,52
CS1137,31-Oct-13,80
CS1137,22-Aug-13,59
CS1137,20-Jan-15,83
CS1137,19-Nov-13,82
CS1137,15-Dec-11,49
CS1137,01-Jan-13,100
CS1137,29-Jul-14,45
CS1137,02-Jan-12,87
CS1137,30-Mar-13,40
CS1137,26-Nov-13,57
CS1137,01-Jul-14,69
CS1137,12-Aug-12,89
CS1137,29-Aug-13,85
CS1138,20-Nov-11,73
CS1138,13-Jan-15,56
CS1138,29-Jun-12,82
CS1138,26-Sep-11,67
CS1138,15-Feb-15,99
CS1138,03-Mar-15,97
CS1138,24-May-11,95
CS1138,13-Nov-12,83
CS1138,11-Oct-13,52
CS1138,16-May-12,55
CS1138,18-Sep-14,81
CS1138,20-Aug-12,79
CS1138,25-Feb-12,60
CS1138,26-Jan-13,53
CS1138,06-Jun-11,102
CS1138,15-Dec-13,71
CS1138,10-Feb-15,54
CS1138,22-Nov-14,103
CS1138,11-Dec-13,65
CS1138,23-Jun-11,97
CS1138,19-Nov-14,73
CS1138,24-Apr-14,105
CS1138,28-Sep-13,80
CS1138,06-Apr-12,81
CS1139,10-Sep-12,45
CS1139,10-Oct-14,76
CS1139,05-Jul-13,67
CS1139,01-Nov-12,75
CS1139,18-Nov-13,53
CS1139,02-Feb-14,101
CS1139,06-Aug-14,74
CS1139,07-Sep-12,52
CS1139,26-Sep-11,84
CS1139,23-Dec-12,95
CS1139,08-Jul-13,40
CS1139,20-Mar-14,43
CS1139,14-Oct-12,96
CS1139,12-Jul-12,67
CS1139,29-Sep-12,37
CS1139,25-Nov-14,104
CS1139,16-Jun-11,73
CS1139,21-Nov-12,63
CS1140,28-Dec-14,61
CS1140,01-Apr-14,36
CS1140,25-Mar-12,92
CS1140,16-Feb-15,62
CS1140,25-Sep-12,61
CS1140,29-Feb-12,81
CS1140,19-Sep-14,71
CS1140,25-Aug-11,69
CS1140,23-Feb-13,92
CS1140,21-May-11,75
CS1140,03-Jan-12,74
CS1140,21-May-13,73
CS1140,06-Jun-11,39
CS1140,22-Nov-14,93
CS1140,01-Feb-13,91
CS1140,31-Jan-12,102
CS1140,08-Oct-14,38
CS1140,14-Jan-13,92
CS1140,28-Jul-12,89
CS1140,09-May-13,43
CS1141,01-May-14,96
CS1141,10-Nov-13,79
CS1141,16-May-12,62
CS1141,12-Aug-11,57
CS1141,09-Jul-14,54
CS1141,10-Oct-12,80
CS1141,13-Aug-11,37
CS1141,02-Apr-14,105
CS1141,05-Dec-12,63
CS1141,15-Apr-14,81
CS1141,22-Jan-15,104
CS1141,18-Jan-13,93
CS1141,30-May-12,66
CS1141,28-Jul-13,63
CS1141,17-Oct-13,78
CS1141,08-Aug-12,64
CS1141,28-Sep-14,38
CS1141,07-Sep-14,67
CS1141,12-Apr-14,94
CS1141,06-May-14,82
CS1141,04-Oct-14,43
CS1141,15-Feb-14,72
CS1141,21-Aug-14,74
CS1141,26-Mar-14,77
CS1141,04-Jun-14,49
CS1142,03-Mar-12,86
CS1142,30-Mar-14,94
CS1142,19-Dec-11,94
CS1142,29-May-12,80
CS1142,03-Apr-13,99
CS1142,22-Dec-12,48
CS1142,16-Aug-13,82
CS1142,02-Apr-12,104
CS1142,05-Nov-12,103
CS1142,20-Sep-12,91
CS1142,31-Oct-12,76
CS1142,12-Jan-14,98
CS1142,06-Oct-14,91
CS1142,31-May-11,51
CS1142,19-Jan-14,77
CS1142,08-Jan-12,90
CS1142,28-Jan-13,60
CS1142,28-Jun-14,81
CS1142,04-Jun-11,82
CS1142,07-Apr-13,83
CS1142,23-Nov-12,98
CS1142,16-May-13,79
CS1143,03-Oct-11,99
CS1143,16-Aug-14,54
CS1143,04-Aug-14,98
CS1143,05-Jul-11,54
CS1143,15-Jun-12,92
CS1143,26-Sep-11,91
CS1143,12-Nov-12,58
CS1143,12-Jan-14,75
CS1143,09-Jan-13,94
CS1143,08-Apr-12,58
CS1143,26-Nov-12,36
CS1143,19-Sep-13,88
CS1143,02-Sep-13,99
CS1143,18-Apr-12,95
CS1143,31-Aug-12,94
CS1143,18-Jul-11,70
CS1144,30-May-13,91
CS1144,24-Feb-14,43
CS1144,19-Nov-12,104
CS1144,09-Aug-12,79
CS1144,22-Jan-12,104
CS1144,15-Oct-12,46
CS1144,05-Jun-11,67
CS1144,24-Aug-13,49
CS1144,30-Jan-13,46
CS1144,28-Aug-13,88
CS1144,09-Jun-11,40
CS1144,18-Jul-11,77
CS1144,28-Nov-12,96
CS1144,10-Jul-14,38
CS1144,09-Aug-14,47
CS1144,11-Oct-14,80
CS1144,12-Oct-12,37
CS1144,26-Apr-12,90
CS1145,08-Jul-14,88
CS1145,18-Dec-13,73
CS1145,31-Dec-12,97
CS1145,30-Nov-12,51
CS1145,08-Aug-12,50
CS1145,22-Jul-12,49
CS1145,21-Nov-11,36
CS1145,05-Sep-12,39
CS1145,25-Aug-13,80
CS1145,24-Jun-13,105
CS1145,11-Nov-13,101
CS1145,14-May-12,97
CS1145,30-Jul-14,96
CS1145,07-Apr-14,76
CS1145,03-Jun-11,80
CS1145,06-Feb-13,97
CS1145,31-Oct-11,43
CS1145,24-Jun-12,99
CS1145,23-Jun-14,78
CS1145,15-Feb-12,43
CS1145,25-Oct-14,47
CS1145,24-Sep-14,100
CS1145,19-Nov-13,40
CS1145,28-Jan-13,89
CS1145,10-Jun-13,103
CS1145,02-Aug-11,75
CS1145,30-Jan-14,35
CS1146,23-Jan-12,70
CS1146,20-Oct-13,44
CS1146,22-May-14,87
CS1146,03-Sep-12,39
CS1146,20-Mar-14,92
CS1146,15-Jan-14,43
CS1146,22-Sep-13,39
CS1146,25-Dec-11,69
CS1146,09-Mar-15,80
CS1146,18-Jul-12,94
CS1146,30-Oct-12,99
CS1146,14-Nov-14,62
CS1146,27-Nov-12,57
CS1146,22-Jun-14,63
CS1146,21-Feb-13,77
CS1146,26-Oct-13,102
CS1147,08-Dec-14,52
CS1147,22-Nov-14,92
CS1147,02-Nov-11,44
CS1147,25-Nov-12,83
CS1147,17-Apr-14,63
CS1147,29-Apr-14,86
CS1147,20-Jan-15,52
CS1147,14-Jun-11,68
CS1147,20-Dec-14,95
CS1147,21-Jan-13,83
CS1147,22-Jul-11,53
CS1147,24-Dec-14,63
CS1147,18-Oct-14,57
CS1147,12-Mar-15,71
CS1147,21-Jun-14,42
CS1148,25-Oct-12,50
CS1148,21-Mar-14,38
CS1148,06-Jul-11,49
CS1148,27-May-13,105
CS1148,24-Oct-12,68
CS1148,11-Jul-12,90
CS1148,25-Mar-13,86
CS1148,26-Jan-12,99
CS1148,22-Sep-13,91
CS1148,18-Jan-14,50
CS1148,13-Sep-13,88
CS1148,18-Apr-13,83
CS1148,21-Feb-13,94
CS1148,28-Jan-12,78
CS1148,03-Jun-13,101
CS1148,12-Dec-14,53
CS1148,23-Dec-14,87
CS1148,29-Sep-13,46
CS1148,17-Mar-14,64
CS1148,26-Jun-14,57
CS1148,06-Aug-11,36
CS1148,17-May-12,36
CS1148,25-Apr-14,97
CS1148,07-Apr-14,52
CS1148,22-Sep-11,35
CS1149,03-Dec-11,74
CS1149,30-Dec-11,52
CS1149,28-May-12,39
CS1149,01-Mar-15,89
CS1149,13-Jul-14,67
CS1149,29-Jan-14,93
CS1149,24-Oct-12,103
CS1149,26-Oct-13,50
CS1149,11-Jul-14,86
CS1149,14-Oct-11,103
CS1149,06-May-13,42
CS1149,11-Dec-14,79
CS1149,30-Nov-11,94
CS1149,01-Mar-14,74
CS1149,10-Jan-12,99
CS1149,14-Oct-12,53
CS1149,14-Dec-11,79
CS1149,13-Apr-13,48
CS1149,12-Jun-14,57
CS1149,19-Mar-12,77
CS1149,07-Dec-13,96
CS1149,10-Jun-12,40
CS1149,02-May-12,43
CS1149,17-Jun-11,83
CS1149,22-Sep-14,48
CS1150,23-Aug-11,48
CS1150,05-Mar-14,78
CS1150,30-Jun-13,71
CS1150,01-Aug-14,71
CS1150,05-Aug-13,77
CS1150,17-Dec-14,101
CS1150,24-May-12,56
CS1150,12-Dec-12,55
CS1150,05-Dec-11,90
CS1150,22-Jul-12,92
CS1150,07-Mar-14,57
CS1150,30-Jun-12,92
CS1150,05-Oct-11,85
CS1150,30-Aug-13,102
CS1151,19-Jan-14,53
CS1151,10-Aug-11,81
CS1151,18-Feb-15,49
CS1151,18-Sep-11,59
CS1151,16-Aug-14,60
CS1151,07-Feb-14,104
CS1151,18-Dec-14,48
CS1151,18-Jun-14,70
CS1151,27-Jan-15,36
CS1151,10-Nov-14,52
CS1151,12-Jan-14,97
CS1151,17-Feb-15,73
CS1151,18-Apr-13,91
CS1151,21-Jul-13,43
CS1151,27-Aug-13,55
CS1151,16-Oct-12,69
CS1152,04-Aug-12,71
CS1152,11-Aug-13,43
CS1152,28-Dec-12,39
CS1152,14-Dec-11,96
CS1152,23-Sep-11,98
CS1152,27-Aug-12,86
CS1152,30-Nov-14,43
CS1152,29-Mar-14,81
CS1152,13-Jul-13,92
CS1152,28-Dec-14,105
CS1152,10-Mar-15,74
CS1152,21-Apr-14,55
CS1152,02-Nov-13,45
CS1152,10-Oct-14,41
CS1152,21-Nov-13,61
CS1152,06-May-14,90
CS1152,22-Dec-12,49
CS1152,12-Nov-13,102
CS1152,03-Feb-13,87
CS1152,18-Nov-12,99
CS1153,04-Oct-11,99
CS1153,25-Nov-13,80
CS1153,12-Nov-12,66
CS1153,18-Nov-11,87
CS1153,30-Sep-14,60
CS1153,13-Jun-11,71
CS1153,05-Nov-14,40
CS1153,16-Sep-12,72
CS1153,22-May-13,52
CS1153,16-Jul-13,40
CS1153,22-Aug-13,104
CS1153,21-Nov-12,62
CS1153,23-May-13,78
CS1153,17-Dec-11,52
CS1153,07-Oct-11,49
CS1153,10-Feb-15,66
CS1153,06-Aug-12,101
CS1153,03-Aug-11,95
CS1154,18-Jan-12,55
CS1154,14-Aug-13,82
CS1154,20-May-13,66
CS1154,30-Dec-14,64
CS1154,16-Mar-15,80
CS1154,16-Aug-12,61
CS1154,19-Jul-14,78
CS1154,24-May-12,50
CS1154,29-Sep-13,81
CS1154,07-Feb-13,74
CS1154,02-Sep-14,65
CS1154,24-Aug-13,39
CS1154,06-Mar-14,105
CS1154,07-Nov-14,94
CS1154,22-Jun-14,48
CS1154,29-Nov-12,88
CS1154,06-Oct-12,40
CS1154,06-Jun-13,37
CS1154,04-Nov-11,39
CS1154,30-Aug-11,48
CS1154,08-Feb-15,61
CS1154,04-Oct-14,38
CS1154,22-Sep-12,43
CS1155,16-Oct-11,75
CS1155,03-Apr-12,55
CS1155,07-Feb-13,49
CS1155,10-Nov-14,67
CS1155,28-Sep-13,48
CS1155,22-Jun-11,38
CS1155,17-Aug-11,94
CS1155,15-Jul-12,82
CS1155,17-Sep-13,81
CS1155,14-Sep-11,97
CS1155,01-Jul-11,77
CS1155,26-Sep-14,67
CS1155,05-Nov-11,58
CS1155,01-Feb-12,91
CS1155,27-Nov-11,89
CS1155,28-Mar-14,52
CS1155,24-Oct-11,67
CS1155,03-Dec-13,46
CS1155,05-Jan-13,84
CS1156,01-Sep-13,39
CS1156,09-Jun-12,40
CS1156,17-Sep-11,82
CS1156,17-Jul-14,99
CS1156,29-Jan-12,57
CS1156,30-Aug-12,95
CS1156,13-Jun-13,38
CS1156,04-Mar-12,57
CS1156,15-Apr-13,92
CS1156,25-Oct-13,95
CS1156,25-Jun-11,91
CS1156,30-Dec-14,43
CS1156,11-Mar-13,75
CS1156,26-Aug-12,77
CS1156,01-Feb-15,68
CS1156,08-Dec-11,66
CS1156,16-Feb-15,97
CS1156,28-Feb-13,55
CS1156,20-Sep-11,103
CS1156,07-Mar-15,76
CS1157,25-Jul-12,46
CS1157,05-Feb-15,74
CS1157,23-Feb-15,67
CS1157,20-Feb-15,98
CS1157,31-Jan-12,97
CS1157,06-Aug-12,60
CS1157,30-Dec-11,46
CS1157,25-Feb-15,64
CS1157,19-Feb-15,85
CS1157,02-Jan-13,90
CS1157,26-Apr-12,35
CS1157,18-Feb-13,70
CS1157,28-Jun-12,104
CS1157,08-Nov-14,52
CS1157,17-Feb-15,72
CS1157,24-Apr-12,53
CS1157,23-Jan-15,41
CS1157,03-Jan-12,49
CS1157,16-Nov-12,72
CS1157,14-Aug-13,94
CS1157,16-Jan-13,58
CS1158,04-Dec-14,52
CS1158,05-Sep-14,93
CS1158,01-Oct-12,68
CS1158,18-Mar-14,59
CS1158,24-Sep-14,54
CS1158,16-Jul-11,49
CS1158,28-Feb-13,68
CS1158,20-Jan-13,52
CS1158,02-Nov-14,77
CS1158,04-Dec-14,42
CS1158,23-Jun-13,94
CS1158,28-Jul-13,82
CS1158,06-Mar-12,49
CS1158,30-Sep-12,38
CS1158,13-Sep-11,102
CS1158,10-Dec-12,37
CS1158,24-Feb-12,102
CS1158,20-Oct-12,41
CS1159,22-Sep-13,76
CS1159,29-Sep-12,44
CS1159,05-Sep-12,76
CS1159,13-Jul-13,102
CS1159,26-Aug-14,39
CS1159,10-Mar-12,39
CS1159,30-Nov-12,50
CS1159,12-Nov-11,48
CS1159,02-Nov-12,94
CS1159,29-Jun-11,57
CS1159,20-Jun-11,104
CS1159,03-Jul-14,55
CS1159,16-Jan-15,40
CS1159,20-Jul-11,54
CS1159,27-Apr-14,63
CS1159,18-Dec-14,76
CS1159,01-Oct-12,53
CS1159,08-Feb-15,98
CS1159,07-Jan-15,71
CS1159,25-Jan-14,41
CS1159,25-Apr-14,96
CS1159,12-Oct-12,63
CS1160,29-Oct-14,39
CS1160,07-Nov-11,67
CS1160,15-Jan-15,90
CS1160,31-Aug-14,56
CS1160,10-Sep-14,38
CS1160,18-Apr-12,88
CS1160,21-Jun-12,63
CS1160,12-Apr-13,60
CS1160,16-Jun-12,67
CS1160,24-Jan-15,98
CS1160,16-Mar-13,90
CS1160,07-Nov-14,75
CS1160,01-Jun-12,83
CS1160,31-Jan-15,65
CS1160,26-May-14,84
CS1160,20-Jan-12,46
CS1160,04-Jun-14,46
CS1160,03-Feb-12,58
CS1160,28-Sep-14,76
CS1160,10-Nov-12,91
CS1161,08-Nov-12,55
